建工新康桥 , | 3室1厅 | 69.62平米 | 东 | 精装 | 有电梯,石桥铺,89万
约克郡阅林景悦 , | 3室2厅 | 111平米 | 东南 | 毛坯 | 有电梯,照母山,205万
雅居乐国际花园 , | 3室1厅 | 98平米 | 南 | 毛坯 | 有电梯,六公里,159万
世茂茂悦府一二期高层 , | 2室2厅 | 79平米 | 东南 | 毛坯 | 有电梯,照母山,118万
鲁能城中央公馆二期 , | 3室1厅 | 129平米 | 南 | 毛坯 | 有电梯,中央公园,195万
瑞同优米 , | 2室2厅 | 76.6平米 | 东南 | 毛坯 | 有电梯,龙头寺,115万
凤凰湾驭城 , | 2室2厅 | 59.87平米 | 东北 | 毛坯 | 有电梯,石马河,88万
奥园康城B区 , | 3室2厅 | 136.06平米 | 西 | 毛坯 | 有电梯,谢家湾,140万
光华可乐小镇A区 , | 2室2厅 | 80.07平米 | 北 | 简装 | 有电梯,南桥寺,105万
鲁能星城十二街区 , | 2室2厅 | 85平米 | 北 | 精装 | 有电梯,龙头寺,150万
万科金域学府时光里 , | 2室1厅 | 57平米 | 东南 | 精装 | 有电梯,七公里,82.9万
国际社区观园一期 , | 3室1厅 | 117.25平米 | 南 | 精装 | 有电梯,弹子石,170万
北大资源博雅 , | 2室2厅 | 66平米 | 北 | 毛坯 | 有电梯,照母山,102万
同心家园B组团 , | 3室2厅 | 105平米 | 东南 | 精装 | 有电梯,石桥铺,125万
书香苑 , | 2室1厅 | 57.2平米 | 南 | 简装 | 有电梯,两路口,80万
融汇半岛玫瑰公馆 , | 3室2厅 | 95.1平米 | 东南 | 精装 | 有电梯,融汇半岛,106万
万科金域学府 , | 2室2厅 | 64平米 | 东南 | 精装 | 有电梯,七公里,100万
恒大御龙天峰 , | 3室2厅 | 117.67平米 | 东南 | 精装 | 有电梯,北滨路,215万
平安摩卡城市 , | 2室1厅 | 66平米 | 东 | 精装 | 有电梯,观音桥,110万
保利观澜 , | 2室1厅 | 63平米 | 南 | 精装 | 有电梯,海尔路,125万
壹江城 , | 2室2厅 | 78.23平米 | 东南 南 | 精装 | 有电梯,石马河,105万
长安华都 , | 2室1厅 | 87.98平米 | 南 | 精装 | 有电梯,龙头寺,120万
